v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29
5.323566982552811e-06	2.4157008917200284e-06	1.1432247285248276e-06	1.2269632859421609e-06	3.793411235341024e-07	-3.435984016325515e-06	1.0663595777451068e-06	1.1011050954094761e-06	-1.6389153313400879e-06	8.903223096760242e-08	2.896673352894695e-07	1.2851116656609552e-07	-7.618579577166854e-08	-1.9403802658455522e-07	2.6212175686340124e-06	-9.932560591075192e-06	1.5576580559531053e-06	3.220400198804196e-09	-8.880490943746846e-07	-1.208421908036451e-06	1.6568544006243149e-10	-4.862017237880698e-08	-9.353530559798144e-06	5.557961080665826e-07	6.382925715869086e-07	1.391280765181381e-07	4.435315545093617e-07	-1.1900767662462393e-06	-4.39299415641123e-08
-1.0176514868904354e-05	2.217136000942354e-05	-8.803469956694071e-06	5.766519202794921e-06	2.0643330110650582e-05	2.265851388315093e-05	-1.241850175604332e-07	-3.601688128143014e-06	2.6828984655468338e-05	-2.5161737798055266e-06	-1.2237733327223928e-06	-5.238599799366698e-07	7.003109632176029e-07	-3.0504156932560953e-07	-9.932560591075192e-06	9.295648095395798e-05	-4.995422085261806e-06	2.7537627339481582e-08	4.652170036371486e-06	7.121459303886028e-06	-6.929650337015504e-10	3.3216853324274817e-07	4.866214570765599e-05	2.5632491961484366e-06	-5.473833037039023e-06	-1.0603117404914507e-06	-2.3823598435975775e-06	6.613551060653048e-06	1.722256222802804e-07
3.788566592257965e-06	5.3843606749259e-06	1.254072178277339e-07	-2.606117694735568e-06	-8.6644525538679e-07	3.842358889309395e-06	1.9728910095440955e-06	3.5201125479487335e-06	-1.7312548745965164e-06	-5.635545214018063e-08	9.901493036791167e-08	5.503281731151892e-08	-2.0487884977017506e-08	-1.389017293261472e-07	1.5576580559531053e-06	-4.995422085261806e-06	4.178415715295899e-06	-7.23743081150346e-10	-5.614190821939898e-07	-5.034148614169327e-07	-1.579047141624592e-10	-1.0387073982300243e-08	-1.6826805215324405e-07	1.972529188608545e-06	-3.4952526445022163e-07	-3.2159475879039423e-08	-4.596146395691371e-08	-4.692562871047453e-07	-1.0712006026026559e-08
-5.3068419338114385e-09	6.728202454944552e-10	2.4318929988135948e-11	-1.2396728253452232e-08	-6.069165244625635e-09	3.9301454034955265e-10	4.949820899061464e-09	7.750746769890032e-09	1.571618461050146e-08	-1.6921789925923388e-09	4.1537099146523e-11	1.0693494135854688e-10	2.5878892233672396e-10	-3.785550005133909e-10	3.220400198804196e-09	2.7537627339481582e-08	-7.23743081150346e-10	6.71935293088502e-11	3.0915481762401554e-10	7.074922904460483e-10	2.7828176258366213e-13	-3.440518812557013e-11	-4.802654013248001e-09	4.20293791117893e-09	2.1886416968736587e-10	7.297800246745727e-10	6.940427953524715e-10	6.883453367687409e-10	1.6359259613716575e-11
-6.294215549041959e-06	-5.235172612294664e-06	-4.017098979500408e-07	-6.144715597391178e-06	-5.6264435878910175e-06	5.709737910089508e-06	5.388898112336222e-08	-1.8146625449447654e-07	-1.0282491882945535e-06	9.510019830840053e-08	-1.498821002093844e-07	-7.437074690308039e-08	4.838775866666246e-08	-5.494270155833005e-08	-8.880490943746846e-07	4.652170036371486e-06	-5.614190821939898e-07	3.0915481762401554e-10	1.1408072142490015e-06	8.419806792721747e-07	-5.4717713704294296e-11	3.898468207000462e-08	9.082802312506495e-06	4.862239002747878e-07	-5.274194781535647e-07	-5.189501682457683e-08	-4.019728710928089e-07	8.430585230976288e-07	2.5804654226604664e-08
-4.915842673170985e-06	-2.51008419454984e-06	-7.122530028278288e-07	-4.203750155104787e-06	-3.0125768975060748e-06	5.219799881991976e-06	1.6893064831755568e-07	-1.323140938280567e-07	5.963432726391055e-07	2.688934267736349e-09	-1.6682558848241645e-07	-7.51689246130317e-08	6.820089183449271e-08	-1.819924501817019e-11	-1.208421908036451e-06	7.121459303886028e-06	-5.034148614169327e-07	7.074922904460483e-10	8.419806792721747e-07	1.0156159198766053e-06	-8.007252715462396e-11	5.202918135546783e-08	8.680075556942987e-06	5.901804762314902e-07	-6.268306756058846e-07	-7.191205008609662e-08	-3.895032355032747e-07	9.83053398223632e-07	2.765410579979967e-08
5.281250457434479e-10	1.3407167478738085e-10	1.007407375502948e-10	7.541351560910525e-10	5.491383522199068e-10	-9.804132179933047e-10	-2.52299754771894e-10	-5.6994031357065605e-12	-5.5433445600462696e-12	3.360196556780917e-11	3.040456304014151e-11	1.0756981299613958e-11	-8.441128220251254e-12	-2.956992474463481e-11	1.6568544006243149e-10	-6.929650337015504e-10	-1.579047141624592e-10	2.7828176258366213e-13	-5.4717713704294296e-11	-8.007252715462396e-11	9.681793280643417e-14	-8.652783493456318e-13	-1.4326292113547668e-09	-2.9573757416434147e-10	8.801030091584741e-11	-6.960226032138515e-12	3.623138862451902e-11	-8.744195682332793e-11	-3.2862356361676025e-12
-2.1649488011630966e-07	-1.0922328006556343e-07	-2.4098268149743707e-08	-2.2952738308846534e-07	-1.715123724274535e-07	3.230103653835326e-07	3.724227650698432e-08	-3.973268562455056e-08	-2.067266883474996e-08	6.474279465336875e-09	-6.852890858332649e-09	-3.283823931331326e-09	3.2946807131599413e-09	-2.0046749877364367e-10	-4.862017237880698e-08	3.3216853324274817e-07	-1.0387073982300243e-08	-3.440518812557013e-11	3.898468207000462e-08	5.202918135546783e-08	-8.652783493456318e-13	5.082347473572517e-09	5.303497969212588e-07	5.9044344606235674e-08	-3.130499513722858e-08	-3.992016539895111e-09	-2.0439431793387453e-08	4.700057881609837e-08	9.30089353235508e-10
-5.204803478046988e-05	-3.630746693090737e-05	-4.171702240510391e-06	-5.955244263556008e-05	-5.1131689727447366e-05	7.09887551349411e-05	8.744589137644766e-06	-5.052940202142721e-06	-1.2072462638712593e-05	9.393148192898492e-07	-1.3615443520407598e-06	-6.800432408456776e-07	5.28990568725725e-07	-7.872274025595903e-08	-9.353530559798144e-06	4.866214570765599e-05	-1.6826805215324405e-07	-4.802654013248001e-09	9.082802312506495e-06	8.680075556942987e-06	-1.4326292113547668e-09	5.303497969212588e-07	0.00011145451609316626	1.293713743633883e-05	-5.684351823419247e-06	-1.197434461692826e-07	-3.8836017910995e-06	8.537946605260343e-06	1.9773197226296698e-07
-1.8499421075857295e-06	-3.574182088590187e-07	4.073389955991436e-08	-8.69964936633304e-06	-6.994278186097069e-06	1.1228113511701517e-05	4.483978248392253e-06	-7.822863087030618e-08	-2.1443020593676673e-06	4.6021267712953423e-08	2.1887534303316987e-08	1.5724977431364157e-08	5.254669141334655e-08	-1.417528296993458e-07	5.557961080665826e-07	2.5632491961484366e-06	1.972529188608545e-06	4.20293791117893e-09	4.862239002747878e-07	5.901804762314902e-07	-2.9573757416434147e-10	5.9044344606235674e-08	1.293713743633883e-05	4.663021352145895e-06	-5.2527198851392e-07	1.4976747073883905e-07	-2.0003093180373383e-07	5.555248575906353e-07	-9.918757474586968e-09
1.4225587613387032e-06	-1.4417321998342126e-06	7.505542408181347e-07	1.3017283157525e-06	-1.240538233204237e-07	-3.931776070002408e-06	-1.7328939809662978e-07	-4.34647580498286e-07	-8.153679433801762e-07	1.2757024255676722e-07	1.0870816091465696e-07	4.9126397609323775e-08	-5.005117997532626e-08	7.811572075802433e-08	6.382925715869086e-07	-5.473833037039023e-06	-3.4952526445022163e-07	2.1886416968736587e-10	-5.274194781535647e-07	-6.268306756058846e-07	8.801030091584741e-11	-3.130499513722858e-08	-5.684351823419247e-06	-5.2527198851392e-07	6.663463025500304e-07	1.4427363545985475e-07	3.333055432355498e-07	-6.022344013800144e-07	-1.8252183091332587e-08
-4.802960016603199e-07	-1.1669723762852089e-06	2.1070030199006543e-07	-9.322043069978179e-07	-1.2098087268889945e-06	-1.9474541079288355e-08	2.215015497182243e-07	8.37251631413965e-09	-3.5859322028756315e-07	4.433762905584388e-08	1.513409536773125e-08	7.797583990276159e-09	-5.546390902264693e-09	3.769122921000749e-08	1.391280765181381e-07	-1.0603117404914507e-06	-3.2159475879039423e-08	7.297800246745727e-10	-5.189501682457683e-08	-7.191205008609662e-08	-6.960226032138515e-12	-3.992016539895111e-09	-1.197434461692826e-07	1.4976747073883905e-07	1.4427363545985475e-07	8.243556380543186e-08	7.083430786505785e-08	-6.389494604007337e-08	-2.6237859323423455e-09
2.0366008850300047e-06	9.285945865587644e-07	3.232136237538946e-07	1.934315812971757e-06	1.3881578730952784e-06	-2.5843933851267125e-06	2.764776832344174e-08	-1.390176086477973e-07	2.0050453442516627e-07	-1.3714846151749496e-08	7.178632617977306e-08	3.468936079934745e-08	-2.2769028116095592e-08	3.005763154081353e-08	4.435315545093617e-07	-2.3823598435975775e-06	-4.596146395691371e-08	6.940427953524715e-10	-4.019728710928089e-07	-3.895032355032747e-07	3.623138862451902e-11	-2.0439431793387453e-08	-3.8836017910995e-06	-2.0003093180373383e-07	3.333055432355498e-07	7.083430786505785e-08	2.1553313177801506e-07	-3.8553978842942455e-07	-1.2512088338296527e-08
-5.164460014418607e-06	-2.9266125975194424e-06	-6.74316886118522e-07	-4.549353250595843e-06	-3.4249665419838295e-06	5.195687236861126e-06	1.3901960369457596e-07	2.3786073248054583e-08	4.265555680507649e-07	8.214197508036318e-09	-1.6997541073830125e-07	-7.59960900777417e-08	6.448682565130719e-08	7.792385367557669e-09	-1.1900767662462393e-06	6.613551060653048e-06	-4.692562871047453e-07	6.883453367687409e-10	8.430585230976288e-07	9.83053398223632e-07	-8.744195682332793e-11	4.700057881609837e-08	8.537946605260343e-06	5.555248575906353e-07	-6.022344013800144e-07	-6.389494604007337e-08	-3.8553978842942455e-07	9.63497617367022e-07	2.8870767097769667e-08
-2.0032935099686994e-07	-1.305232101019216e-07	-2.263452371976866e-08	-1.653466797444515e-07	-1.298284831080734e-07	1.1492584785902132e-07	-2.383650182044867e-08	7.893119854900848e-08	3.753708223463417e-08	-5.187990340502556e-09	-9.579362226726046e-09	-3.6028806190561536e-09	2.023114610673996e-09	5.380265984313235e-09	-4.39299415641123e-08	1.722256222802804e-07	-1.0712006026026559e-08	1.6359259613716575e-11	2.5804654226604664e-08	2.765410579979967e-08	-3.2862356361676025e-12	9.30089353235508e-10	1.9773197226296698e-07	-9.918757474586968e-09	-1.8252183091332587e-08	-2.6237859323423455e-09	-1.2512088338296527e-08	2.8870767097769667e-08	1.8346301021752676e-09
